AccNoFull,CommonNameAll,TaxonName,Family,TaxonDistribution
"2010-0134","Millionaire's Salad, Cabbage Palm","Deckenia nobilis","Arecaceae","Seychelles"
"2010-0407","Mule's Foot Fern","Angiopteris evecta","Marattiaceae","Australia"
"2011-0023","Yellow Plume Flower","Justicia aurea","Acanthaceae","Mexico to Central America"
"2011-0023","Yellow Plume Flower","Justicia aurea","Acanthaceae","Mexico to Central America"
"2011-0040","Coffee Tree","Coffea arabica","Rubiaceae","Tropical Africa"
"2011-0046","Golden Gardenia","Gardenia tubifera","Rubiaceae","Malaysia, Sumatra, Borneo"
"2011-0146","Walking Iris","Neomarica northiana","Iridaceae","Brazil"
"2011-0147","Yellow Walking Iris","Trimezia martinicensis","Iridaceae","Tropical America"
"2011-0199","","Alpinia purpurata 'JUNGLE QUEEN'","Zingiberaceae","Horticultural"
"2011-0199","","Alpinia purpurata 'JUNGLE QUEEN'","Zingiberaceae","Horticultural"
"2011-0533","","Anthurium crystallinum","Araceae",""
"2011-0533","","Anthurium crystallinum","Araceae",""
"2011-0533","","Anthurium crystallinum","Araceae",""
"2011-0568","Queen Anthurium","Anthurium warocqueanum","Araceae","Colombia"
"2011-0570","Oil Cloth Anthurium","Anthurium chamberlainii","Araceae",""
"2012-0061","Tri-color Money Tree","Dracaena marginata 'Tri-color'","Asparagaceae","Madagascar"
"2012-0073","White Bat Plant","Tacca integrifolia","Dioscoreaceae","Malaysia"
"2012-0074","Blue Bayou Hibiscus","Hibiscus rosa-sinensis 'Blue Bayou'","Malvaceae",""
"2015-0125","Milo","Thespesia populnea","Malvaceae","Pan Tropical"
